Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:63aIxMhj5WU6yJSxT7zxEA,"Surat Buat Wakil Rakyat","Wakil Rakyat","Iwan Fals",1987-01-08,390652,61,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T12:43:56Z,"indonesian pop,indonesian rock,indorock,pop kreatif","Musica Studio's",0.454,0.687,0,-7.004,1,0.131,0.12,0,0.945,0.531,117.572,4
spotify:track:5NYJ8Fpnm3Ci1KsGeOjCt6,"Mata Indah Bola Pingpong","Wakil Rakyat","Iwan Fals",1987-01-08,265264,60,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T12:56:02Z,"indonesian pop,indonesian rock,indorock,pop kreatif","Musica Studio's",0.763,0.565,0,-6.34,1,0.0466,0.177,0,0.167,0.794,141.025,4
spotify:track:6F4uuhNt7MoUR1WShGTIPZ,"Ibu","1910","Iwan Fals",1993-10-03,173499,62,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T12:43:31Z,"indonesian pop,indonesian rock,indorock,pop kreatif","Musica Studios",0.46,0.469,6,-8.829,0,0.031,0.53,0.000167,0.265,0.27,80.998,4
spotify:track:10Ayaoo1seNMwAkpVZHBw0,"Bongkar","Swami 1","Swami",1989-01-01,429290,59,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T12:40:36Z,"indonesian rock,indorock,indonesian pop","Musica Studio's/Airo Records",0.769,0.522,7,-6.741,1,0.132,0.185,0.0000329,0.0583,0.767,91.018,4
spotify:track:1Kkp5F8GGg9GJzM8q5m926,"Sumbang","Sumbang","Iwan Fals",1983-01-01,387215,55,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T12:44:58Z,"indonesian pop,indonesian rock,indorock,pop kreatif","Musica Studio's",0.502,0.766,4,-4.655,0,0.0465,0.314,0.00413,0.17,0.381,92.456,4
spotify:track:7obj53PDpxszVdU35jVv5P,"Yang Terlupakan","Mata Dewa","Iwan Fals",1989-01-01,296193,64,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T12:47:45Z,"indonesian pop,indonesian rock,indorock,pop kreatif","Airo Records",0.442,0.461,0,-8.149,1,0.0261,0.089,0,0.106,0.18,142.547,4
spotify:track:37bUwSDxpbB2SrMM01c7Gy,"Do'a Pengobral Dosa","Album Emas Periode 78 - 88","Iwan Fals",1988-02-04,259946,43,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T12:57:38Z,"indonesian pop,indonesian rock,indorock,pop kreatif","PT Musica Studios",0.582,0.566,9,-6.744,1,0.0254,0.218,0.00000824,0.234,0.301,134.905,4
spotify:track:7sMeJTsyGJpKBJ3qQujdSn,"Buku Ini Aku Pinjam","Album Emas Periode 78 - 88","Iwan Fals",1988-02-04,273693,62,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T12:58:37Z,"indonesian pop,indonesian rock,indorock,pop kreatif","PT Musica Studios",0.55,0.687,7,-7.103,1,0.0346,0.175,0,0.172,0.565,149.089,4
spotify:track:4c8hqj5IgGtoCzsny5xQnj,"Sarjana Muda","Album Emas Periode 78 - 88","Iwan Fals",1988-02-04,299480,56,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T12:59:13Z,"indonesian pop,indonesian rock,indorock,pop kreatif","PT Musica Studios",0.419,0.57,2,-7.215,0,0.0324,0.644,0.00109,0.393,0.14,68.016,4
spotify:track:31rKSgJqmVVP3p0sYj33ls,"Aku Bukan Pilihan","In Love","Iwan Fals",2006-01-12,258204,18,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:00:54Z,"indonesian pop,indonesian rock,indorock,pop kreatif","Musica Studio's",0.379,0.513,2,-6.79,1,0.0653,0.462,0.00000575,0.106,0.238,79.123,4
spotify:track:5OmWxlD2WFRqhGOsUejGLk,"Berita Kepada Kawan","Aku Ingin Pulang","Ebiet G. Ade",1992-08-01,337989,58,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:03:15Z,"indonesian pop,pop kreatif,dangdut","Musica Studios",0.572,0.232,2,-14.744,1,0.0352,0.215,0,0.374,0.41,145.384,4
spotify:track:1IWvQe9F9Bw8jv9OLJXva2,"Untuk Kita Renungkan","Hits & More","Ebiet G. Ade;Adera",2025-04-16,311200,32,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:04:44Z,"indonesian pop,pop kreatif,dangdut,indonesian jazz","PT Musica Studios",0.606,0.32,2,-9.789,1,0.045,0.805,0.000031,0.132,0.215,133.335,4
spotify:track:5z8IzlkE8yrKBX00abw4YM,"Masih Ada Waktu","Aku Ingin Pulang","Ebiet G. Ade",1992-08-01,389909,49,false,31suqromoy6hfg5ncr7mqxyy4z44,2026-05-28T13:06:27Z,"indonesian pop,pop kreatif,dangdut","Musica Studios",0.405,0.224,3,-16.986,1,0.0297,0.706,0.00973,0.157,0.13,68.594,4
